Otázka,Správná odpověď
"Právo nabývat, držet a nosit zbraň vymezené v § 1 odst. 1 zákona o zbraních, jehož přesná formulace zní: „Právo nabývat, držet a nosit zbraň je zaručeno za podmínek stanovených tímto zákonem.“ má následující význam:","Jedná se o ustanovení deklarující hodnotové ukotvení zákona o zbraních a poskytující určitou oporu pro jeho právní interpretaci. Nakládat se zbraněmi a střelivem lze však pouze v souladu se zákonem,"
Zákon o zbraních a zákon o nakládání se zbraněmi v některých případech ovlivňujících vnitřní pořádek a bezpečnost,"jsou dva odlišné právní předpisy, které na sebe navzájem navazují,"
Na zaměstnance poskytovatele bezpečnostních služeb pověřené zajišťováním fyzické ostrahy státních jaderných zařízení se zákon o zbraních,"vztahuje,"
"Umožní-li mimo jiné stát disponovat se zbraní, střelivem nebo municí, které jsou v jeho držení a nevztahuje se na ně zákon o zbraních, komukoliv jinému, který je oprávněn zbraně, střelivo nebo munici držet podle zákona o zbraních,","vztahuje se na tuto věc od okamžiku převzetí zákon o zbraních,"
Místem pobytu zákon o zbraních rozumí,"adresu trvalého pobytu občana České republiky anebo adresu místa hlášeného pobytu cizince,"
Přenecháním zbraně nebo střeliva se pro účely zákona o zbraních rozumí,poskytnutí možnosti jiné osobě se zbraní nebo střelivem fakticky nakládat.
Pro účely zákona o zbraních se rozumí držením zbraně nebo střeliva mít,"zbraň nebo střelivo uvnitř bytových nebo provozních prostor nebo uvnitř zřetelně ohraničených nemovitostí se souhlasem vlastníka nebo nájemce uvedených prostor nebo nemovitostí, nebo mít zbraň nenabitou náboji v zásobníku, nábojové schránce, nábojové komoře hlavně nebo nábojových komorách válce revolveru a uloženou v uzavřeném obalu za účelem jejího přemístění z místa na místo,"
Nošením zbraně nebo střeliva se pro účely zákona o zbraních mimo jiné rozumí,"mít zbraň nebo střelivo u sebe, s výjimkou případů, kdy se jedná o držení,"
Nošením zbraně nebo střeliva se pro účely zákona o zbraních mimo jiné rozumí,"mít u sebe střelivo a nabitou zbraň vně bytových nebo provozních prostor,"
Podle zákona o zbraních zbraněmi zařazenými do kategorií A až D se rozumí též,"hlavní části zbraní, kterých jsou nebo mají být jejich součástí."
V pochybnostech o zařazení typu zbraně nebo střeliva do kategorie podle zákona o zbraních rozhoduje,"Český úřad pro zkoušení zbraní a střeliva,"
Zbraně zvláště účinné jsou podle zákona o zbraních,"střelné zbraně ráže 20 mm nebo vyšší určené pro střelbu munice,"
"Samočinné zbraně, nejde-li o expanzní zbraně, jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie A,"
"Zbraně vyrobené nebo upravené tak, že lze utajit jejich účel, nebo u kterých byly původní charakter a podoba změněny tak, aby se jejich použitím mohly způsobit těžší následky, jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie A,"
Zbraně maskované jako jiné předměty (zákeřné zbraně) jsou podle zákona o zbraních zbraně zařazené mezi,zbraně kategorie A.
Střelná nástrahová zařízení jsou podle zákona o zbraních zbraně zařazené mezi,zbraně kategorie A.
"Palné zbraně nevyrobené z kovů, pokud nejsou identifikovatelné jako zbraně při kontrolách osob a zavazadel pomocí detekčních a rentgenových přístrojů, jsou podle zákona o zbraních zbraně zařazené mezi","zbraně kategorie A,"
